index,Gender,Race,Age,Created Date,Mailing Zip/Postal Code,Domestic,Country,State,Program,Status,Index
58,Male,Asian,23,12/19/2022,211225,Domestic,China,Jiangsu,Biology: Computational and Integrative (PHD),Complete App,59
59,Male,Asian,25,3/10/2023,210093,International,China,Jiangsu,Biology (MS),Complete App,60
60,Male,Asian,25,3/10/2023,210093,International,China,Jiangsu,Chemistry (MS),Complete App,61
61,Male,Asian,46,1/31/2023,211135,International,China,Jiangsu,Computer Science: Scientific Computing (MS),Complete App,62
62,Female,Asian,25,1/10/2023,213000,International,China,Jiangsu,Data Science (MS),Admit,63
63,Male,Asian,25,1/16/2023,213001,International,China,Jiangsu,Data Science (MS),Denied,64
64,Male,Asian,21,12/4/2022,262400,International,China,Shandong,Data Science (MS),Denied,65
65,Male,Asian,21,12/16/2022,201100,International,China,Shanghai,Data Science (MS),Complete App,66
66,Male,Asian,24,2/23/2023,30006,International,China,Shanxi,Chemistry (MS),Complete App,67
67,Female,Asian,23,2/27/2023,,International,China,Zhejiang,Psychology: Psychological Sciences (MA),Complete App,68
68,Female,Asian,24,2/21/2023,710068,International,China,None Listed,Biology: Computational and Integrative (MS),Complete App,69
69,Male,Asian,34,12/31/2022,,International,China,None Listed,Creative Writing (MFA) Camden,Started App,70
70,Male,Asian,21,10/24/2022,200032,International,China,None Listed,Data Science (MS),Started App,71
71,Male,Asian,23,10/31/2022,201713,International,China,None Listed,Psychology: Psychological Sciences (MA),Started App,72
72,Female,Asian,30,2/23/2023,100101,International,China,None Listed,Psychology: Psychological Sciences (MA),Complete App,73
73,Male,Asian,40,1/11/2023,2770,International,Denmark,Capital,Data Science (MS),Submitted App,74
74,Male,Asian,23,12/27/2022,2300,International,Denmark,Region Hovedstaden,Biology: Computational and Integrative (PHD),Started App,75
75,Male,White,27,2/21/2023,21634,International,Egypt,Montazah first district,Biology: Computational and Integrative (MS),Complete App,76
76,Male,White,22,2/2/2023,82515,Domestic,Egypt,Sohag,Biology: Computational and Integrative (PHD),Started App,77
77,Male,None Listed,26,1/5/2023,12556,International,Egypt,None Listed,Biology: Computational and Integrative (PHD),Complete App,78
78,Male,None Listed,26,8/10/2022,12556,International,Egypt,None Listed,Biology: Computational and Integrative (PHD),Alternative Admission,79
79,Male,White,28,12/25/2022,11672,International,Egypt,None Listed,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App,80
80,Male,Black or African American,27,6/27/2022,,International,Ethiopia,East shewa/ Adama,Computer Science: Scientific Computing (MS),Started App,81
81,Male,Black or African American,25,1/2/2023,1001,International,Ethiopia,Wollo,Criminal Justice (MA),Submitted App,82
82,Male,Black or African American,37,10/20/2022,269,International,Ethiopia,None Listed,Childhood Studies (PHD),Denied,83
83,Female,Black or African American,30,11/8/2022,67400,International,Finland,Central Ostrobonia,Data Science (MS),Started App,84
84,Female,White,33,2/21/2023,,International,France,None Listed,Biology: Computational and Integrative (PHD),Complete App,85
85,Female,Black or African American,23,3/3/2023,,International,Ghana,Accra,Computer Science: Scientific Computing (MS),Started App,86
86,Female,Black or African American,23,2/22/2023,N/A,International,Ghana,Accra,Prevention Science (MS),Complete App,87
