City,State,Lat,Long,Country,Date Started App,Date Submitted App,Program,Status
Alfenas,Minas Gerais,-21.4289,-45.9469,Brazil,44837,44895,Public Affairs/Community Development (MS),Complete App
Alkhor,,6.679611,3.303726,Qatar,44962,,Business and Science - Computer and Information Sciences (MBS) Camden,Started App
Allentown,Pennsylvania,40.5961,-75.4756,United States,44924,,Childhood Studies (MA),Started App
Allentown,Pennsylvania,40.5961,-75.4756,United States,44830,44830,Creative Writing (MFA) Camden,Denied
American Fork,Utah,40.3783,-111.7953,United States,44888,44909,Biology (MS),Admit-Withdrawn
American Fork,Utah,40.3783,-111.7953,United States,44888,44909,Chemistry (MS),Admit
Amityville,New York,40.6696,-73.4156,United States,44985,,Psychology: Psychological Sciences (MA),Started App
Amravati,Maharashtra,20.912908,77.775062,#N/A,44949,,Data Science (MS),Started App
Amravati,Maharashtra,20.912908,77.775062,#N/A,44898,44904,Data Science (MS),Admit
Amritsar,Punjab,31.64,74.86,India,44874,44894,Computer Science: Scientific Computing (MS),Complete App
Amsterdam,North Holland,42.942,-74.1906,United States,44536,44545,Mathematical Sciences (MS),Admit-Not Coming
Ankara,Ankara,39.93,32.85,Turkey,44936,44937,English (MA),Admit
Ankara,Ankara,39.93,32.85,Turkey,44903,44941,English (MA),Admit
Ankara,Ankara,39.93,32.85,Turkey,44905,44905,English (MA),Admit-Coming
Ann Arbor,Michigan,42.2759,-83.731,United States,44960,44960,Computer Science: Scientific Computing (MS),Admit
Annandale-on-Hudson,New York,42.024993,-73.90232,United States,44820,44895,Prevention Science (MS),Denied
Anyang,Gyeonggi-do,37.3833,126.9333,South Korea,44846,44930,Data Science (MS),Admit-Withdrawn
Aomori-shi,Aomori-ken,40.829256,140.738059,Japan,44816,44818,Creative Writing (MFA) Camden,Denied
Ardmore,Tennessee,34.992029,-86.846947,United States,44817,,Creative Writing (MFA) Camden,Started App
Arlington,Virginia,32.6998,-97.125,United States,44959,44962,Biology: Computational and Integrative (PHD),Denied
Arlington,Virginia,32.6998,-97.125,United States,44897,,Prevention Science (PHD),Started App
Arnold,Maryland,39.0437,-76.4974,United States,44853,44894,Psychology: Psychological Sciences (MA),Admit
Arsikere,Karnataka,13.3139,76.2369,India,44948,44956,Computer Science: Scientific Computing (MS),Complete App
Astoria,New York,46.1856,-123.8053,United States,44832,,Prevention Science (PHD),Started App
Astoria,New York,46.1856,-123.8053,United States,44861,44906,Public Affairs/Community Development (PHD),Alternative Admission
Atco,New Jersey,39.7682,-74.8618,United States,44959,,Psychology: Psychological Sciences (MA),Started App
Atebubu,Bono East,7.75,-0.9833,Ghana,44949,44950,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App
Athens,Ohio,39.32924,-82.101255,United States,44968,44972,Data Science (MS),Complete App
Athens,Ohio,39.32924,-82.101255,United States,44929,,Liberal Studies - Online (MA),Started App
Athens,Athens,37.98381,-83.3689,United States,44882,44896,Psychology: Psychological Sciences (MA),Complete App
Atlanta,Georgia,33.7628,23.727539,United States,44862,44875,Psychology: Psychological Sciences (MA),Complete App
Atlantic City,New Jersey,39.3797,-74.4527,United States,44826,,Business and Science - Computer and Information Sciences (MBS) Camden,Withdrawn
Atlantic City,New Jersey,39.3797,-74.4527,United States,44743,44743,Childhood Studies (MA),Submitted App
Atlantic City,New Jersey,39.3797,-74.4527,United States,44995,,Criminal Justice (MA),Started App
Auburn,Alabama,32.6087,-85.4903,United States,44952,44965,Biology: Computational and Integrative (PHD),Admit-Not Coming
Audubon,New Jersey,40.1304,-75.428,United States,44908,44945,Creative Writing (MFA) Camden,Waitlisted
AUDUBON,NJ,40.1304,-75.428,United States,44949,44985,Psychology: Psychological Sciences (MA),Admit
Audubon,New Jersey,40.1304,-75.428,United States,44982,45000,Teacher Education (MAT),Submitted App
Austin,Texas,30.3005,-97.7522,United States,44861,44924,Childhood Studies (PHD),Denied
Aventura,Florida,25.9566,-80.1371,United States,44877,44877,Liberal Studies - Online (MA),Admit
Awka,Anambra,6.2,7.0667,Nigeria,44579,44579,Forensic Science (MS),Admit-Coming
Ayobo,LAGOS,6.605896,3.241393,#N/A,44997,44998,Biology: Computational and Integrative (PHD),Admit-Coming
AYOBO,LAGOS,6.605896,3.241393,#N/A,45003,45020,Computer Science: Scientific Computing (MS),Submitted App
Baldwinsville,New York,43.1578,-76.3325,United States,44511,44529,Biology (MS),Admit-Withdrawn
Balikesir,,39.55914,27.97171,#N/A,44915,44915,Creative Writing (MFA) Camden,Denied
Baltimore,Maryland,39.3051,-76.6144,United States,44834,44878,Psychology: Psychological Sciences (MA),Complete App
Bangalore,Karnataka,12.9789,77.5917,India,44968,,Biology (MS),Started App
Bangalore,Karnataka,12.9789,77.5917,India,44868,44892,Biology (MS),Denied
Bangalore,Karnataka,12.9789,77.5917,India,44543,,Business and Science - Computer and Information Sciences (MBS) Camden,Started App
Bangalore,Karnataka,12.9789,77.5917,India,44933,,Business and Science - Computer and Information Sciences (MBS) Camden,Started App
Bangalore,Karnataka,12.9789,77.5917,India,44886,,Computer Science: Scientific Computing (MS),Started App
Bangalore,Karnataka,12.9789,77.5917,India,44956,,Computer Science: Scientific Computing (MS),Started App
Bangalore,Karnataka,12.9789,77.5917,India,44892,44899,Computer Science: Scientific Computing (MS),Complete App
