Tier,Total,Biology (MS),Biology: Computational and Integrative (MS),Biology: Computational and Integrative (PHD),Business and Science - Computer and Information Sciences (MBS) Camden,Chemistry (MS),Childhood Studies (MA),Childhood Studies (PHD),Computer Science: Scientific Computing (MS),Creative Writing (MFA) Camden,Criminal Justice - Accelerated Degree BA/MA (MA),Criminal Justice (MA),Data Science (MS),Forensic Science (MS),"History (American, Global, Public) (MA)",Liberal Studies - Online (MA),Mathematical Sciences (MS),Prevention Science (PHD),Psychology: Psychological Sciences (MA),Public Administration - On Campus (MPA),"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Public Affairs/Community Development (MS),Public Affairs/Community Development (PHD),Teacher Education - Spanish (MAT)
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0
1,33,1,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,1,0,0,0
2,109,1,0,1,0,2,0,0,4,0,0,0,94,0,0,2,0,0,1,3,1,0,0,0
3,27,0,1,0,1,0,0,0,4,0,0,1,0,2,0,1,3,0,2,8,1,1,1,1
4,40,3,0,0,0,0,4,4,0,0,0,1,0,0,18,3,2,2,2,0,0,0,1,0
TA/GA/Fellowship,15,0,0,1,0,0,0,3,0,7,0,0,0,0,2,0,0,2,0,0,0,0,0,0
