Race,Total,Biology (MS),Biology: Computational and Integrative (MS),Biology: Computational and Integrative (PHD),Business and Science - Computer and Information Sciences (MBS) Camden,Chemistry (MS),Childhood Studies (MA),Childhood Studies (PHD),Computer Science: Scientific Computing (MS),Creative Writing (MFA) Camden,Criminal Justice (MA),Data Science (MS),English (MA),Forensic Science (MS),"History (American, Global, Public) (MA)",Liberal Studies (MA),Mathematical Sciences (MS),Prevention Science (MS),Prevention Science (PHD),Psychology: Psychological Sciences (MA),Public Administration - On Campus (MPA),"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Public Affairs/Community Development (MS),Public Affairs/Community Development (PHD),Teacher Education - Spanish (MAT),Teacher Education (MAT),Grand Total
Asian,559,15,22,25,8,10,2,10,66,15,5,304,9,3,0,2,4,3,8,31,3,2,6,6,0,0,559
White,337,10,10,23,2,2,6,11,5,79,8,11,13,8,17,11,2,2,19,56,14,4,10,6,0,8,337
Black or African American,237,5,11,15,4,7,5,11,15,19,9,23,13,7,3,3,1,5,16,22,13,6,10,11,1,2,237
None Listed,71,2,6,5,0,1,0,1,6,10,0,27,3,0,1,0,1,0,2,3,0,1,0,2,0,0,71
Two or More,51,0,0,4,0,1,2,3,1,11,1,5,1,2,1,1,0,1,2,11,0,1,0,2,1,0,51
Hispanic or Latino,28,1,0,1,0,0,1,2,1,4,6,0,2,2,0,0,0,1,0,7,0,0,0,0,0,0,28
American Indian or Alaska Native,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Other,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
