Index,Category,Count of ACs,Percent Change of ACs Over 2022,Change in Count of ACs Over 2022,Classification
1,First Year ,200,15.6,27,Undergrad
2,Transfer,114,10.7,11,Undergrad
3,Law,27,0,0,Grad
4,Business,30,500,25,Grad
5,Graduate School,133,232.5,93,Grad
6,Nursing,8,0,0,Grad
