Status,Year,Value
Enrolled,2018,127
Admit Coming,2018,140
Enrolled,2019,152
Enrolled,2020,173
Admit Coming,2019,185
Enrolled,2022,198
Admit Coming,2020,200
Enrolled,2021,215
Admit Coming,2022,260
Admit Coming,2021,268
Admit Coming,2023,268
Started Apps,2018,638
Started Apps,2019,773
Started Apps,2020,955
Started Apps,2022,1152
Started Apps,2021,1283
Started Apps,2023,1688
Enrolled,2023,NaN
